commit	outcome_auroc	outcome_auprc	onset_mae_hrs	peak_vram_gb	status	description
c5bbe7f	0.783937	0.264894	91.69	6.225	DISCARD	exp18: embedder fix (detach_time=False + seq-aware Δt); fresh Phase-1 weaker; KIDNEY 0.729 vs 0.758, net -0.011 AUROC vs exp15
ae513eb	0.779653	0.244216	90.92	6.029	DISCARD	exp19: LM-coupling D+K outcome_head; CARDIO 0.854 vs 0.868, HYPERGLYCEMIA 0.795 vs 0.822, net -0.004 vs exp18
d1363f9	0.774556	0.266496	88.69	6.052	DISCARD	exp20: LM-outcome aux BCE on lm_head at outcome positions; CARDIO 0.866 but HYPERGLYCEMIA 0.736 vs 0.822, KIDNEY 0.728 vs 0.758, net -0.021 AUROC vs exp15
1196b39	0.794697	0.259399	90.68	19.112	KEEP	exp21: Phase-3 differential LR (backbone 1e-6, head 1e-4); +0.011 over exp18; matches exp15 despite weaker P1; DEATH 0.977 CARDIO 0.874 HYPOGLY 0.745; VRAM 3x spike (backbone grads in P3)
dfb5911	0.786600	0.229871	100.92	19.112	DISCARD	exp22: outcome_cap 9→10; CARDIO 0.848 vs 0.874, RELEASE 0.597 vs 0.612; confirms cap=9 is peak
c76ff39	0.794580	0.251941	94.05	19.112	DISCARD	exp23: backbone_lr_factor 0.01→0.05; tied AUROC but RELEASE +0.030/CARDIO -0.020 tradeoff; factor=0.01 confirmed optimal
51c6aeb	0.788930	0.264857	86.38	19.443	DISCARD	exp24: wider outcome_head D→2D→D→K; CARDIO 0.854 vs 0.874, KIDNEY 0.726 vs 0.749; head capacity not the bottleneck
9713af5	0.757504	0.230684	93.69	19.112	DISCARD	exp25: bce_window 12→24h; catastrophic CARDIO -0.098; only 34.9% hit max_len (vs 72%); 12h confirmed optimal
4f345c7	0.790299	0.251511	88.35	19.576	DISCARD	exp26: phase3_weight_decay=0; CARDIO 0.849 vs 0.874, P3 early-stops ep10 vs 29; L2 on head is necessary
38c0185	0.793364	0.257919	87.37	19.578	DISCARD	exp27: P3 ReduceLROnPlateau (factor=0.5 pat=2); 48 epochs, 9 LR reductions 1e-4→1e-7; CARDIO 0.857 vs 0.874, HYPOGLY 0.765 vs 0.745; scheduler causes outcome tradeoff, net -0.001
dd50e16	0.797057	0.257185	85.37	19.577	KEEP	exp28: P2 bce_only_epochs 2→4; NEW BEST; CARDIO 0.879 HYPOGLY 0.773 RELEASE 0.619 all up; KIDNEY 0.730 vs 0.758 regressed; stronger LM base before curriculum helps net
b2770bd	0.792361	0.225801	89.59	19.578	DISCARD	exp29: bce_only_epochs 4→6; RELEASE 0.584 (-0.035) CARDIO 0.866 (-0.013); P3 stops ep8; 4 is peak for bce_only
875a0b3	0.797555	0.245492	91.29	19.577	KEEP	exp30: bce_only=4 cap 9→10; NEW BEST; CARDIO 0.843 (-0.036) vs KIDNEY 0.742 (+0.012) HYPERGLYCEMIA 0.828 HYPOGLY 0.785; stronger baseline absorbs more outcome pressure
1a3d46d	0.788680	0.250134	91.99	19.575	DISCARD	exp31: cap 10→11; HYPERGLYCEMIA 0.805 (-0.023) HYPOGLY 0.765 (-0.020) KIDNEY 0.728; cap=10 confirmed peak at bce_only=4
64e1775	0.797192	0.256663	86.97	19.575	DISCARD	exp32: outcome ramp 3→1; CARDIO 0.888 (+0.045) HYPOGLY 0.754 (-0.031); zero-sum tradeoff; ramp=3 confirmed optimal
683e5ba	nan	nan	nan	nan	CRASH	exp33: Task A (outcome→LM coupling); NaN at epoch 34 — epoch-end flush bug allowed partial-accumulation NaN grads to corrupt weights via optimizer.step(); cascade: all losses/grads NaN through Phase-3
3f6be59	0.686829	nan	98.42	19.670	DISCARD	exp34: fix flush NaN guard; outcome_to_lm still caused NaN gradient skips (12→23/epoch), best Phase-2 ckpt saved at pre-activation epoch 32, Phase-3 started from untrained outcome_head; CARDIO 0.588 KIDNEY 0.663
07e3a72	0.708653	nan	110.89	19.672	DISCARD	exp35: per-batch NaN fix + forward clamp; 0 NaN warnings, but outcome_to_lm CE signal delayed plateau→outcome activated epoch 44 (only 6 P2 outcome epochs); P3 started weak; CARDIO 0.816 KIDNEY 0.553
f178fe1	0.718344	0.182177	142.57	19.675	DISCARD	exp36: coupling_active=False in Phase-2 (fixed CE delay); outcome unlocked ep38 vs exp30 ~31 (7 epochs late, stochastic); Task A Phase-3 only; CARDIO 0.730 KIDNEY 0.599 DEATH 0.952; AUROC 0.718 < exp30 0.798 — Task A hurts even in Phase-3 alone
85468ea	0.782430	0.250006	93.27	19.666	DISCARD	exp37: disable Phase-1 MLM (cap 1.50→0.00); Task 2C conflict check; fresh P1 retrain; CARDIO 0.796 (-0.047) HYPOGLY 0.747 (-0.038) KIDNEY 0.751 (+0.009); AUROC -0.015 vs exp30; MLM=0 weakens outcome sensitivity — MLM helps despite structural flaw (or fresh P1 noise)
6d9bbee	0.762493	0.243462	94.18	19.2	DISCARD	exp38: fix MLM hierarchy masking (Task 2B); mask concept/value/raw at MLM positions; HYPOGLY 0.698 (-0.087) CARDIO 0.801 (-0.042); AUROC -0.035 vs exp30 — harder MLM hurts Phase-1 without attention; worse than disabled MLM (exp37)
df89763	0.767794	0.221573	93.62	19.2	DISCARD	exp39: Task 4B token-type flag embeddings (is_outcome/marker/trend/treatment); fresh P1 retrain; CARDIO 0.774 (-0.069) KIDNEY 0.705 (-0.037); AUROC -0.030 vs exp30 — token flags hurt or fresh P1 noise dominates
1be2127	0.791608	0.234167	91.63	24.9	KEEP	exp40: corrected baseline — hierarchy masking (exp38 fix kept) + undetached P1 dt + Task 4A temporal attn bias; CARDIO 0.830 KIDNEY 0.751 HYPOGLY 0.768 HYPERGLYCEMIA 0.814; +0.024 vs exp39 fresh P1; -0.006 vs exp30 seasoned P1 (fresh P1 noise); new mandatory baseline
0b6796e	0.788743	0.287752	88.37	25.1	DISCARD	exp41: discrete-time hazard head + P3 fine-tune both heads; BUG — hazard tr_aux not passed to scheduler.update() → λ stayed pending entire P2 (Haz=0.0000 throughout); CARDIO 0.846 HYPOGLY 0.711 (-0.057); AUROC -0.003 vs exp40 — hazard never activated in P2, only P3 head; superseded by exp42 fix
33f5edf	0.794598	0.261762	87.43	25.1	KEEP	exp42: wire hazard tr_aux to scheduler.update (fixes exp41 missing kwarg); hazard activated λ_max=0.1154 at ep39; CARDIO 0.874 (+0.044) HYPERGLYCEMIA 0.827 HYPOGLY 0.734 (-0.034 tradeoff); AUROC +0.003 vs exp40 baseline; AUPRC +0.028; mae -4.2hr; P3 ran 25 ep vs exp41 8 — hazard signal extends training
952c2e9	0.786550	0.248343	91.73	25.1	DISCARD	exp43: hazard cap 5→7.5; λ_max 0.115→0.182; CARDIO 0.850 (-0.024) HYPOGLY 0.721 (-0.013) all degraded; P3 only 6 ep vs exp42 25 — stronger hazard signal disrupted outcome head pretraining; cap=5 confirmed at/near optimum
69393c9	0.795654	0.229470	86.20	25.1	DISCARD	exp44: hazard ramp_epochs 3→1; AUROC tied with exp42 (+0.001 noise) but AUPRC -0.032; opposite outcome pattern: KIDNEY 0.769 (+0.023) HYPOGLY 0.761 (+0.027) RELEASE 0.629 (+0.026) up; CARDIO 0.833 (-0.041) DEATH 0.962 (-0.021) down; fast ramp shifts which outcomes benefit but net same
284b1ac	0.787812	0.246841	88.14	25.0	DISCARD	exp45: hazard bins 12→6 (4h→8h each); AUROC -0.007 vs exp42; CARDIO 0.857 (-0.017) KIDNEY 0.734 (-0.012) DEATH 0.964 (-0.019) — coarser bins hurt across the board; hazard calibrated at ep33 vs ep39 (easier task); bins=12 confirmed optimal
702578f	0.797184	0.268715	95.74	25.1	KEEP	exp46: hazard shares outcome_head + per-bin bias param (K×n_bins=72 params vs 18432); hazard_logit[k,b] = outcome_logit[k] + bias[k,b]; NEW BEST AUROC +0.003 vs exp42, AUPRC +0.007; KIDNEY 0.771 (+0.025) HYPOGLY 0.770 (+0.036 recovered) RELEASE 0.621 (+0.018) up; CARDIO 0.838 (-0.036) DEATH 0.970 (-0.013) down; MAE 95.74 (+8.3 worse, secondary metric); rebalance pattern — shared gradient spreads across outcomes
dc5f55f	0.795259	0.250235	85.85	25.1	DISCARD	exp47: hybrid hazard = outcome_logit + bias + small linear(x); AUROC -0.002 vs exp46 best, but MAE 85.85 (best so far, -9.9 vs exp46); CARDIO 0.851 (+0.013) recovered; KIDNEY 0.755 (-0.016) HYPOGLY 0.759 (-0.011) regressed; x-dependent bias undid exp46's shared-gradient AUROC gain — fundamental MAE/AUROC tradeoff
d739886	0.787263	0.244711	88.08	25.1	DISCARD	exp48: outcome cap 10→12 with shared hazard arch; AUROC -0.010 vs exp46; CARDIO 0.797 (-0.041) HYPOGLY 0.739 (-0.031) destabilized; higher cap pressures outcome head past optimum; cap=10 confirmed at peak
672695b	0.803757	0.282420	84.89	25.1	KEEP	exp49: early-stop patience 5→10 with exp46 shared hazard arch; NEW BEST AUROC 0.804 (+0.007 vs exp46, +0.012 vs exp40); AUPRC 0.282 (+0.014); MAE 84.89 (BEST, -10.9 vs exp46); RELEASE 0.692 (+0.071!) DEATH 0.977 HYPOGLY 0.779; P3 ran 21 ep vs exp46's 9 — longer P3 lets outcome head converge through transient val plateaus; primary metric breakthrough
a1293e0	0.794954	0.247206	87.56	25.3	DISCARD	exp50: outcome head depth D→D→K → D→D→D→K (extra hidden layer); AUROC -0.009 vs exp49; CARDIO 0.872 (+0.039) recovered but RELEASE 0.601 (-0.091) AUPRC -0.035; deeper outcome head delayed Stage 1 activation to ep45 (vs exp49 ep34) — only 4 P2 epochs of outcome training vs 16; depth fails same way exp24 widening did, via curriculum-timing
a5383ec	0.699183	0.201753	106.90	25.2	DISCARD	exp51: Task 3b outcome→LM coupling per program.md; ALL outcomes catastrophically dropped (AUROC -0.105 vs exp49, CARDIO -0.142 KIDNEY -0.119 RELEASE -0.147); same failure mode as exp33-36 — outcome_to_lm shifts AR generation trajectory distribution away from training dist → outcome head miscalibrated on shifted trajectories; Task 3b structurally incompatible with autoregressive eval regardless of training-side improvements (shared hazard + patience=10 didn't save it)
d4a94ec	0.787999	0.238916	87.55	25.1	KEEP	exp52: Task A — Time2Vec freq log-spaced init (ω from 12 to 25k rad/normalized-unit, alt sign); diag PROBE Δt R²=0.024→0.083 (3.4x, ≥0.05 bar passed), Pearson r=0.50→0.445 (still ≥0.3), tr_dt 0.0183→0.0163 monotonic across P1 — Task A locked-in fix per Rules #1; AUROC -0.016 vs exp49 (fresh P1 noise + minor downstream regression on KIDNEY -0.061 HYPOGLY -0.054 RELEASE -0.045; CARDIO +0.010 HYPERGLY +0.025 gained); embedder probe 0.641→0.621; new baseline
16cbd2f	0.792603	0.265190	89.83	25.1	DISCARD	exp53: Task B option 2 — span-MLM (size 4); AUROC +0.005 vs exp52 baseline (within fresh-P1 noise) AUPRC +0.026 P3 best val 0.745→0.707; BUT span-MLM disrupted Δt training — Δt R²=-0.118 (was 0.083 in exp52) means Task A regressed below its 0.05 bar (Pearson r=0.49 stays, pred_std matches true_std, but pred_mean biased 1.68h vs true 0.87h → SSE > SST); Rules #1 prohibits un-fixing a locked aux task; Report 7 only +0.023 (0.62→0.64); per-outcome CARDIO 0.855 +0.007 KIDNEY 0.746 RELEASE 0.620 -0.027 — MLM gains too marginal for the Task A regression
6534aa8	0.810310	0.280750	89.65	8.3	KEEP	Task D1+D2 efficiency — SDPA mem-eff backend (force EFFICIENT_ATTENTION + log1p in bf16 via autocast-disabled block) + Phase-3 grad-ckpt gated on torch.is_grad_enabled() (covers backbone with backbone_lr_factor=0.01) + Phase-3 forward in bf16 autocast; pod is A5000 24 GB so exp52 25.1 GB peak from A40 baseline could not be reproduced as-is; peak VRAM 25.1→8.3 GB (3x cut), AUROC 0.788→0.810 (+0.022) AUPRC 0.239→0.281 (+0.042); per-outcome DEATH 0.975 CARDIO 0.869 HYPERGLY 0.822 HYPOGLY 0.807 KIDNEY 0.773 RELEASE 0.616; runtime 3766s; Task D LOCKED — AUROC IMPROVED not regressed
488d8b5	0.793229	0.267653	87.67	8.3	KEEP	exp54 redo: Task B fail/remove on top of D-fixed code — delete mlm_head/forward_with_mlm/build_mlm/MLM loss/phase1_scheduler entry (-123 +13 lines, params unchanged due to weight tying); per program.md removal unconditional after exp37/exp38/exp53 fail; AUROC 0.810→0.793 (-0.017 just past 0.015 noise) AUPRC 0.281→0.268 MAE 89.65→87.67 vs D-baseline; per-outcome DEATH 0.980 CARDIO 0.854 HYPERGLY 0.812 KIDNEY 0.759 HYPOGLY 0.746 (-0.061 biggest hit) RELEASE 0.608; P3 20 ep; vs exp52 baseline +0.005 within fresh-P1 noise; Task B LOCKED removed
6fd38d9	0.793683	0.271195	90.39	8.3	DISCARD	exp55: Task C additive ranking loss — DEADLOCK BUG: gated raw-loss computation on lam_rank>0 so tr_ranking_raw stayed 0.0 across all 50 P2 epochs; ranking never calibrated; per-outcome essentially identical to exp54 (AUROC 0.794 vs 0.793 AUPRC 0.271 vs 0.268 MAE 90.4 vs 87.7); fix in next commit: always compute loss_ranking_raw so scheduler can calibrate
9b9ac73	0.806960	0.293934	84.71	8.3	KEEP	exp56: Task C ranking-loss fix — always compute loss_ranking_raw so scheduler can calibrate (exp55 deadlock removed); ranking calibrated λ_max=0.0008 and engaged from stage-1 unlock; tr_ranking 0.0008→0.0003 monotone decrease across P2 epochs 30-49 (weighted); AUROC 0.793→0.807 (+0.014) AUPRC 0.268→0.294 (+0.026) MAE 87.67→84.71 vs exp54; per-outcome HYPOGLY 0.804 (+0.058 biggest); RELEASE 0.597 still weakest; 83.3% max_len critical-path
3ff2490	0.778180	0.235046	87.56	8.3	DISCARD	exp58: terminal-imminent aux head — REGRESSION; aux DID learn (tr_terminal 30% decrease) but shared-backbone gradient pressure DIVERTED capacity from primary objectives: AUROC 0.807→0.778 (-0.029) AUPRC 0.294→0.235 (-0.059); per-outcome HYPOGLY -0.090 CARDIO -0.055; RELEASE 0.610 flat; max_len 88% worse; indirect transfer hypothesis did not hold
8361146	0.810436	0.385825	83.33	8.3	KEEP	exp59: widen LM-head BCE window for DEATH/RELEASE to 168h (vs 12h default) — denser pre-terminal positive signal; AUROC 0.807→0.810 (+0.003 within noise — Rule 5 says re-run with fresh P1 to confirm; deferred to Task 0.4 ablation) AUPRC 0.294→0.386 (+0.092 huge data-shape gain) MAE 84.71→83.33 max_len% 83→12.4% (-70.9pp); RELEASE 0.601→0.654 (+0.053); per-outcome DEATH 0.988 CARDIO 0.875 HYPERGLY 0.803 KIDNEY 0.771 HYPOGLY 0.771 RELEASE 0.654; P3 14 ep; data-shape change; AUPRC delta confirms Rule 4 prediction about data-shape gains
c2f3856	0.833237	0.395677	81.67	8.3	KEEP	exp60: two-tier wide BCE window in lm-head — terminals 168h (from exp59) + complications 48h (matched to outcome_horizon); AUROC 0.810→0.833 (+0.023) AUPRC 0.386→0.396 (+0.010) MAE 83.33→81.67 max_len% 12.4→8.7%; RELEASE 0.654→0.756 (+0.102) KIDNEY +0.037 HYPERGLY +0.024 HYPOGLY +0.003; CARDIO -0.016 DEATH -0.012; P3 38 ep; new best beating exp49 0.804 by 0.029; complications-48h widening flagged retroactively by f770850 as hand-picked per-family — needs ablation in Task 0.4 to attribute terminal-only vs two-tier
c093e86	0.828816	0.391833	84.49	8.3	DISCARD	exp61: apply two-tier wide BCE windows in Phase-1 lm-head too (terminals 168h + complications 48h same as exp60 P2); marginal regression AUROC -0.005 within noise band AUPRC -0.004 MAE +2.82 max_len 14% (worse); RELEASE 0.756→0.701 (-0.055 on the target weakness); P1 with wide windows likely produces less fine-grained temporal embeddings; DISCARD per Rule 5 and per caveat f770850 (per-family windows for complications now flagged); reverted to exp60 codebase
18a3caa	0.794369	0.242275	86.46	8.3	AUDIT	Task 0.4: ablate BOTH wide BCE tiers (revert to 12h uniform) on top of exp60 code; vs exp60 KEEP: AUROC -0.039 AUPRC -0.154 max_len 8.7→82.4% (+73pp back to broken) RELEASE 0.756→0.614 (-0.142); ATTRIBUTION CONFIRMED: data-shape wide BCE windows drove the AUPRC+0.10, max_len fix, and RELEASE gain — aux losses alone yield AUROC 0.794 (~exp56 0.807); next: audit_0.4b separate terminals-only vs +complications tiers; per f770850 caveat, keep only the principled terminals-vs-everything split
71ddbe9	0.824579	0.426650	82.82	8.3	KEEP	audit_0.4b: ONLY terminals 168h wide BCE (complications back to 12h) — principled two-tier per f770850 caveat (terminals end the sequence, structurally distinct); vs exp60 both-tiers: AUROC -0.008 within noise AUPRC +0.031 GAIN MAE +1.15 max_len 8.9 vs 8.7% (effectively same); per-outcome: CARDIO 0.900 (+0.041 BEST EVER) DEATH 0.987 (+0.011) HYPERGLY 0.819 (-0.008) KIDNEY 0.797 (-0.011) HYPOGLY 0.764 (-0.010) RELEASE 0.681 (-0.075 — complications tier was implicitly boosting RELEASE via complication-absence signal); P3 21 ep; PROMOTED to new baseline per Rule 5 (within ±0.01 AUROC noise of exp60, simpler code, principled, higher AUPRC); 5 aux unchanged from exp60: ce dt outcome hazard ranking
083bfdb	0.828048	0.400953	81.00	8.3	KEEP	audit_0.2a: ablate hazard aux on top of audit_0.4b (terminals-only widening) — hazard removed from phase2_scheduler caps/order/ramp; vs audit_0.4b: AUROC +0.003 within ±0.005 noise (Rule 2(b) DECORATIVE) AUPRC -0.026 MAE -1.82 max_len 8.9→14.9% (+6pp slight regression); per-outcome RELEASE 0.681→0.698 (+0.017 helps weakness) HYPOGLY 0.764→0.784 (+0.020 helps) HYPERGLY +0.011; CARDIO -0.008 KIDNEY -0.014 DEATH -0.005; per Rule 2(b) hazard fails the learning-bar ablation test (cost <0.005 AUROC) → DECORATIVE, REMOVED; Rule 6 floor still met (outcome + ranking remain); next: audit_0.2b ablate ranking; new baseline for downstream ablations
27b8809	0.784085	0.349514	83.81	8.3	AUDIT	audit_0.2b: ablate ranking aux on top of audit_0.2a (hazard already removed); vs audit_0.2a baseline AUROC -0.044 AUPRC -0.051 MAE +2.81; per-outcome RELEASE 0.698→0.610 (-0.088) CARDIO 0.892→0.803 (-0.089) HYPOGLY -0.050 KIDNEY -0.026 HYPERGLY -0.014; raw Rule 2(a) drop also strong; per Rule 2(b) ablation cost ≫0.005 → ranking is REAL, KEEP IT; AUDIT row, reverting ranking removal; next: ablate outcome (0.2c) with ranking restored as Rule-6 mandate floor
b0cabac	0.819360	0.428027	84.73	8.3	AUDIT	audit_0.2c: ablate outcome soft-BCE on top of audit_0.2a (hazard already removed); also fixed latent KeyError lambdas["outcome"]→.get(); vs audit_0.2a baseline AUROC -0.009 (just clears Rule 2(b) 0.005 bar) AUPRC +0.027 (outcome was COSTING AUPRC — unusual) RELEASE 0.698→0.651 (-0.047) CARDIO 0.892→0.874 (-0.018) max_len 14.9→12.7%; per Rule 2(b) outcome is REAL (cost > 0.005), KEEP IT; AUDIT row, reverting outcome removal; Task 0.2 complete: hazard REMOVED outcome+ranking KEPT; Task 0.3 effectively satisfied (audit_0.2b ranking ablation gave the fresh-P1 confirmation, -0.044 cost ≫ 0.005)
c56108c	0.841501	0.434805	82.11	8.4	DISCARD	exp62: learnable per-outcome tau in outcome-head soft target — Phase-3 NaN'd, fell back to Phase-2 checkpoint for eval; AUROC 0.841 AUPRC 0.435 RELEASE 0.813 (+0.115 huge!) KIDNEY 0.843 (+0.060) CARDIO 0.900 (+0.008) HYPERGLY 0.831 BUT DEATH 0.906 (-0.076 significant drop) HYPOGLY 0.756; phase3_best_val=nan after 10 epochs — outcome BCE produced NaN from epoch 0 due to a bug: per-K loop used multiplication for masking (0 * inf = NaN when exp(-dt/tau) overflows on out-of-horizon dt). Fix in next commit replaces multiplication with masked_fill (which suppresses inf cleanly). Eval result is real (uses P2 best which had 27 NaN-skipped batches in ep 0 but otherwise trained); learnable tau gave strong RELEASE signal — direction validated, retry with fix.
aa267eb	0.830748	0.418502	81.53	8.3	DISCARD	exp62b: NaN fix + learnable per-outcome tau full P3; AUROC +0.003 within noise (Rule 5 DISCARD) AUPRC +0.018; per-outcome KIDNEY +0.017 CARDIO +0.011 HYPERGLY +0.012 HYPOGLY +0.004 DEATH -0.005; RELEASE 0.698→0.674 (-0.024, REGRESSION on target weakness); compare to exp62 (P3 NaN'd, fell back to P2 best): RELEASE 0.813 (+0.115). Phase-3 fine-tune is destroying the RELEASE signal that P2 builds with learnable tau — hypothesis: outcome_log_tau drifts during P3, retrying with frozen tau in P3 (exp63)
033e019	0.832536	0.433686	81.59	8.3	KEEP	exp63: learnable per-outcome tau, FROZEN in P3 — preserves the P2 tau without P3 drift; vs audit_0.2a baseline AUROC +0.005 (at Rule 5 noise threshold — borderline) AUPRC +0.033 (solid) MAE +0.59 (similar) max_len 14.9→8.5 (-6.4pp, recovers exp60-style natural termination); per-outcome KIDNEY +0.019 HYPOGLY +0.021 HYPERGLY +0.013 DEATH +0.006; CARDIO -0.029 (the cost) RELEASE -0.004 (target NOT recovered — exp62 P2-only had 0.813 but P3 still hurts it); KEEP marginal — primary AUROC bar barely met, but AUPRC and max_len gains are real data-shape-style improvements; new baseline candidate (one Parameter[K] + 1-line freeze added vs 0.2a)
2c60c2a	0.796848	0.364155	88.33	7.6	DISCARD	exp64: Direction D — skip Phase 3 (phase3_n_epochs=50→0); eval falls back to P2 best; vs exp63 baseline AUROC -0.036 (well past -0.01 Direction-D drop threshold → P3 IS net-positive on average) AUPRC -0.070 MAE +6.7 max_len 8.5→14.9 (+6.4pp regression); per-outcome HYPOGLY -0.121 BIGGEST HIT HYPERGLY -0.050 DEATH -0.049 KIDNEY -0.020 CARDIO +0.031 (only gain) RELEASE 0.694→0.688 (-0.006, target NOT recovered — exp62 NaN→P2 fallback's RELEASE=0.813 was a fluke not a signal); peak VRAM 7.6 GB; phase3 nan as designed; next: Direction A sub-1 — add ranking loss to P3 (mirror P2's curriculum so head stays in the loss landscape it converged into)
12ce6fe	0.829300	0.408678	82.88	8.4	DISCARD	exp65: Direction A sub-1 add pairwise ranking loss to Phase 3 mirroring P2 stage-1; λ_ranking calibrated 0.437581 from cap=0.2 × raw_out 0.607 / raw_rank 0.278 (P2-comparable magnitude); vs exp63 baseline AUROC -0.003 within noise AUPRC -0.025 MAE +1.29 max_len 8.5→12.6 (+4.1pp); per-outcome RELEASE 0.694→0.732 (+0.038 target weakness UP) CARDIO +0.027; DEATH -0.014 HYPERGLY -0.021 KIDNEY -0.018 HYPOGLY -0.031; phase3_epochs=11 BUT phase3_best_val=0.6685 at epoch 1 → METHODOLOGY BUG: lambda=0 during epoch 1 (calibration epoch), lambda=0.44 from epoch 2 → val_loss jumps 0.6685→0.7970 due to loss-function change not model regression → best-val selector picks epoch 1 → SAVED CHECKPOINT NEVER SAW RANKING GRADIENT; eval tested "exp63 + 1 BCE-only P3 epoch" not the intended joint-loss head; RELEASE +0.038 still arose from P3-shortening alone — direction validated but experiment must rerun with stable val criterion (val_outcome_raw not val_total)
82387ca	0.850015	0.451512	81.54	8.4	KEEP	exp66: Direction A sub-1 retry — add P3 pairwise ranking loss + early-stop on val_outcome_raw (stable across λ=0→λ_cal transition); λ_ranking calibrated 0.4172 from cap=0.2 × raw_out 0.636 / raw_rank 0.305 (P2-comparable scale); P3 ran 27 epochs early-stopped, raw_outcome 0.636→0.587 (-7.7%), raw_ranking 0.305→0.248 (-18.5% — Rule 2(a) bar effectively met for ranking, near for outcome), vl_select 0.655→0.630 at epoch 17 (saved best); vs exp63 baseline AUROC +0.017 (well past 0.005 noise) AUPRC +0.018 MAE 81.54 flat max_len 8.5→11.6 (+3.1pp small regression); per-outcome RELEASE 0.694→0.727 (+0.033 target weakness UP!) HYPOGLY +0.030 CARDIO +0.036 KIDNEY +0.017; DEATH -0.005 HYPERGLY -0.007 (both within noise); NEW BEST baseline; selector-bug in exp65 confirmed real — same code-change with stable val criterion = +0.017 AUROC instead of -0.003
d854e7d	0.819240	0.396634	90.01	8.4	DISCARD	exp67: Direction A sub-2 — replace P3 outcome BCE with ranking-only (gradient-free BCE for logging); P3 31 epochs early-stopped on val_ranking_raw; vs exp66 baseline AUROC -0.031 AUPRC -0.055 MAE +8.5 max_len 11.6→3.7 (-7.9pp gain due to backbone-1e-6 drift under different loss reshaping LM terminal emission); per-outcome RELEASE 0.727→0.594 (-0.133 COLLAPSE — BCE was calibrating the head for RELEASE that ranking-only cannot replicate, worse than exp64 no-P3 0.688) HYPOGLY -0.025 KIDNEY -0.017 CARDIO -0.011; HYPERGLY +0.013 (only outcome BCE was over-calibrating); DEATH flat; learning: outcome BCE in P3 IS net-positive specifically for RELEASE calibration, contradicts audit_0.2c P2-only signal — BCE plays different role in P3 (joint with ranking, natural dist) vs P2 (one of many aux, oversampled); Direction G (project-wide BCE removal) now less attractive — exp66 joint regime is the right P3 design; next: Direction A sub-3 oversampled DL in P3 (orthogonal lever)
