commit	outcome_auroc	outcome_auprc	onset_mae_hrs	peak_vram_gb	status	description
c5bbe7f	0.783937	0.264894	91.69	6.225	DISCARD	exp18: embedder fix (detach_time=False + seq-aware Δt); fresh Phase-1 weaker; KIDNEY 0.729 vs 0.758, net -0.011 AUROC vs exp15
ae513eb	0.779653	0.244216	90.92	6.029	DISCARD	exp19: LM-coupling D+K outcome_head; CARDIO 0.854 vs 0.868, HYPERGLYCEMIA 0.795 vs 0.822, net -0.004 vs exp18
d1363f9	0.774556	0.266496	88.69	6.052	DISCARD	exp20: LM-outcome aux BCE on lm_head at outcome positions; CARDIO 0.866 but HYPERGLYCEMIA 0.736 vs 0.822, KIDNEY 0.728 vs 0.758, net -0.021 AUROC vs exp15
1196b39	0.794697	0.259399	90.68	19.112	KEEP	exp21: Phase-3 differential LR (backbone 1e-6, head 1e-4); +0.011 over exp18; matches exp15 despite weaker P1; DEATH 0.977 CARDIO 0.874 HYPOGLY 0.745; VRAM 3x spike (backbone grads in P3)
dfb5911	0.786600	0.229871	100.92	19.112	DISCARD	exp22: outcome_cap 9→10; CARDIO 0.848 vs 0.874, RELEASE 0.597 vs 0.612; confirms cap=9 is peak
c76ff39	0.794580	0.251941	94.05	19.112	DISCARD	exp23: backbone_lr_factor 0.01→0.05; tied AUROC but RELEASE +0.030/CARDIO -0.020 tradeoff; factor=0.01 confirmed optimal
51c6aeb	0.788930	0.264857	86.38	19.443	DISCARD	exp24: wider outcome_head D→2D→D→K; CARDIO 0.854 vs 0.874, KIDNEY 0.726 vs 0.749; head capacity not the bottleneck
9713af5	0.757504	0.230684	93.69	19.112	DISCARD	exp25: bce_window 12→24h; catastrophic CARDIO -0.098; only 34.9% hit max_len (vs 72%); 12h confirmed optimal
4f345c7	0.790299	0.251511	88.35	19.576	DISCARD	exp26: phase3_weight_decay=0; CARDIO 0.849 vs 0.874, P3 early-stops ep10 vs 29; L2 on head is necessary
38c0185	0.793364	0.257919	87.37	19.578	DISCARD	exp27: P3 ReduceLROnPlateau (factor=0.5 pat=2); 48 epochs, 9 LR reductions 1e-4→1e-7; CARDIO 0.857 vs 0.874, HYPOGLY 0.765 vs 0.745; scheduler causes outcome tradeoff, net -0.001
dd50e16	0.797057	0.257185	85.37	19.577	KEEP	exp28: P2 bce_only_epochs 2→4; NEW BEST; CARDIO 0.879 HYPOGLY 0.773 RELEASE 0.619 all up; KIDNEY 0.730 vs 0.758 regressed; stronger LM base before curriculum helps net
b2770bd	0.792361	0.225801	89.59	19.578	DISCARD	exp29: bce_only_epochs 4→6; RELEASE 0.584 (-0.035) CARDIO 0.866 (-0.013); P3 stops ep8; 4 is peak for bce_only
875a0b3	0.797555	0.245492	91.29	19.577	KEEP	exp30: bce_only=4 cap 9→10; NEW BEST; CARDIO 0.843 (-0.036) vs KIDNEY 0.742 (+0.012) HYPERGLYCEMIA 0.828 HYPOGLY 0.785; stronger baseline absorbs more outcome pressure
1a3d46d	0.788680	0.250134	91.99	19.575	DISCARD	exp31: cap 10→11; HYPERGLYCEMIA 0.805 (-0.023) HYPOGLY 0.765 (-0.020) KIDNEY 0.728; cap=10 confirmed peak at bce_only=4
64e1775	0.797192	0.256663	86.97	19.575	DISCARD	exp32: outcome ramp 3→1; CARDIO 0.888 (+0.045) HYPOGLY 0.754 (-0.031); zero-sum tradeoff; ramp=3 confirmed optimal
683e5ba	nan	nan	nan	nan	CRASH	exp33: Task A (outcome→LM coupling); NaN at epoch 34 — epoch-end flush bug allowed partial-accumulation NaN grads to corrupt weights via optimizer.step(); cascade: all losses/grads NaN through Phase-3
3f6be59	0.686829	nan	98.42	19.670	DISCARD	exp34: fix flush NaN guard; outcome_to_lm still caused NaN gradient skips (12→23/epoch), best Phase-2 ckpt saved at pre-activation epoch 32, Phase-3 started from untrained outcome_head; CARDIO 0.588 KIDNEY 0.663
07e3a72	0.708653	nan	110.89	19.672	DISCARD	exp35: per-batch NaN fix + forward clamp; 0 NaN warnings, but outcome_to_lm CE signal delayed plateau→outcome activated epoch 44 (only 6 P2 outcome epochs); P3 started weak; CARDIO 0.816 KIDNEY 0.553
f178fe1	0.718344	0.182177	142.57	19.675	DISCARD	exp36: coupling_active=False in Phase-2 (fixed CE delay); outcome unlocked ep38 vs exp30 ~31 (7 epochs late, stochastic); Task A Phase-3 only; CARDIO 0.730 KIDNEY 0.599 DEATH 0.952; AUROC 0.718 < exp30 0.798 — Task A hurts even in Phase-3 alone
85468ea	0.782430	0.250006	93.27	19.666	DISCARD	exp37: disable Phase-1 MLM (cap 1.50→0.00); Task 2C conflict check; fresh P1 retrain; CARDIO 0.796 (-0.047) HYPOGLY 0.747 (-0.038) KIDNEY 0.751 (+0.009); AUROC -0.015 vs exp30; MLM=0 weakens outcome sensitivity — MLM helps despite structural flaw (or fresh P1 noise)
6d9bbee	0.762493	0.243462	94.18	19.2	DISCARD	exp38: fix MLM hierarchy masking (Task 2B); mask concept/value/raw at MLM positions; HYPOGLY 0.698 (-0.087) CARDIO 0.801 (-0.042); AUROC -0.035 vs exp30 — harder MLM hurts Phase-1 without attention; worse than disabled MLM (exp37)
df89763	0.767794	0.221573	93.62	19.2	DISCARD	exp39: Task 4B token-type flag embeddings (is_outcome/marker/trend/treatment); fresh P1 retrain; CARDIO 0.774 (-0.069) KIDNEY 0.705 (-0.037); AUROC -0.030 vs exp30 — token flags hurt or fresh P1 noise dominates
1be2127	0.791608	0.234167	91.63	24.9	KEEP	exp40: corrected baseline — hierarchy masking (exp38 fix kept) + undetached P1 dt + Task 4A temporal attn bias; CARDIO 0.830 KIDNEY 0.751 HYPOGLY 0.768 HYPERGLYCEMIA 0.814; +0.024 vs exp39 fresh P1; -0.006 vs exp30 seasoned P1 (fresh P1 noise); new mandatory baseline
0b6796e	0.788743	0.287752	88.37	25.1	DISCARD	exp41: discrete-time hazard head + P3 fine-tune both heads; BUG — hazard tr_aux not passed to scheduler.update() → λ stayed pending entire P2 (Haz=0.0000 throughout); CARDIO 0.846 HYPOGLY 0.711 (-0.057); AUROC -0.003 vs exp40 — hazard never activated in P2, only P3 head; superseded by exp42 fix
33f5edf	0.794598	0.261762	87.43	25.1	KEEP	exp42: wire hazard tr_aux to scheduler.update (fixes exp41 missing kwarg); hazard activated λ_max=0.1154 at ep39; CARDIO 0.874 (+0.044) HYPERGLYCEMIA 0.827 HYPOGLY 0.734 (-0.034 tradeoff); AUROC +0.003 vs exp40 baseline; AUPRC +0.028; mae -4.2hr; P3 ran 25 ep vs exp41 8 — hazard signal extends training
952c2e9	0.786550	0.248343	91.73	25.1	DISCARD	exp43: hazard cap 5→7.5; λ_max 0.115→0.182; CARDIO 0.850 (-0.024) HYPOGLY 0.721 (-0.013) all degraded; P3 only 6 ep vs exp42 25 — stronger hazard signal disrupted outcome head pretraining; cap=5 confirmed at/near optimum
69393c9	0.795654	0.229470	86.20	25.1	DISCARD	exp44: hazard ramp_epochs 3→1; AUROC tied with exp42 (+0.001 noise) but AUPRC -0.032; opposite outcome pattern: KIDNEY 0.769 (+0.023) HYPOGLY 0.761 (+0.027) RELEASE 0.629 (+0.026) up; CARDIO 0.833 (-0.041) DEATH 0.962 (-0.021) down; fast ramp shifts which outcomes benefit but net same
284b1ac	0.787812	0.246841	88.14	25.0	DISCARD	exp45: hazard bins 12→6 (4h→8h each); AUROC -0.007 vs exp42; CARDIO 0.857 (-0.017) KIDNEY 0.734 (-0.012) DEATH 0.964 (-0.019) — coarser bins hurt across the board; hazard calibrated at ep33 vs ep39 (easier task); bins=12 confirmed optimal
702578f	0.797184	0.268715	95.74	25.1	KEEP	exp46: hazard shares outcome_head + per-bin bias param (K×n_bins=72 params vs 18432); hazard_logit[k,b] = outcome_logit[k] + bias[k,b]; NEW BEST AUROC +0.003 vs exp42, AUPRC +0.007; KIDNEY 0.771 (+0.025) HYPOGLY 0.770 (+0.036 recovered) RELEASE 0.621 (+0.018) up; CARDIO 0.838 (-0.036) DEATH 0.970 (-0.013) down; MAE 95.74 (+8.3 worse, secondary metric); rebalance pattern — shared gradient spreads across outcomes
dc5f55f	0.795259	0.250235	85.85	25.1	DISCARD	exp47: hybrid hazard = outcome_logit + bias + small linear(x); AUROC -0.002 vs exp46 best, but MAE 85.85 (best so far, -9.9 vs exp46); CARDIO 0.851 (+0.013) recovered; KIDNEY 0.755 (-0.016) HYPOGLY 0.759 (-0.011) regressed; x-dependent bias undid exp46's shared-gradient AUROC gain — fundamental MAE/AUROC tradeoff
d739886	0.787263	0.244711	88.08	25.1	DISCARD	exp48: outcome cap 10→12 with shared hazard arch; AUROC -0.010 vs exp46; CARDIO 0.797 (-0.041) HYPOGLY 0.739 (-0.031) destabilized; higher cap pressures outcome head past optimum; cap=10 confirmed at peak
672695b	0.803757	0.282420	84.89	25.1	KEEP	exp49: early-stop patience 5→10 with exp46 shared hazard arch; NEW BEST AUROC 0.804 (+0.007 vs exp46, +0.012 vs exp40); AUPRC 0.282 (+0.014); MAE 84.89 (BEST, -10.9 vs exp46); RELEASE 0.692 (+0.071!) DEATH 0.977 HYPOGLY 0.779; P3 ran 21 ep vs exp46's 9 — longer P3 lets outcome head converge through transient val plateaus; primary metric breakthrough
a1293e0	0.794954	0.247206	87.56	25.3	DISCARD	exp50: outcome head depth D→D→K → D→D→D→K (extra hidden layer); AUROC -0.009 vs exp49; CARDIO 0.872 (+0.039) recovered but RELEASE 0.601 (-0.091) AUPRC -0.035; deeper outcome head delayed Stage 1 activation to ep45 (vs exp49 ep34) — only 4 P2 epochs of outcome training vs 16; depth fails same way exp24 widening did, via curriculum-timing
